basename,songLengthMs,bSP,BSP,DSP,ESP,CSP,bDP,BDP,DDP,EDP,CDP
rein,120000,16 30 9 12 0,45 75 34 31 6,81 103 34 55 66,136 114 76 28 112,,,46 60 25 19 4,83 103 23 39 75,152 118 30 32 115,
reiw,104788,22 17 0 20 0,29 29 0 71 0,40 47 30 29 3,54 47 34 60 20,128 127 115 40 120,,25 29 1 56 0,38 41 29 27 3,54 47 29 62 20,121 109 117 37 121
rejo,117333,14 11 3 0 0,39 39 32 38 1,57 56 21 44 21,73 84 32 37 80,,,39 33 30 37 1,58 56 30 37 22,76 84 38 33 83,
rema,118800,23 32 5 13 0,32 52 14 9 0,54 85 23 9 42,80 115 27 9 105,,,33 52 10 8 0,53 72 14 6 39,71 109 10 10 102,
reme,97893,8 8 0 0 0,8 8 0 0 0,26 21 0 0 1,40 29 0 0 12,,,9 8 0 0 0,27 25 0 0 2,40 29 0 0 15,
remx,102119,39 49 9 28 0,67 62 40 35 2,80 99 115 37 17,127 112 72 41 43,136 99 70 41 47,,70 62 25 0 3,77 74 69 14 9,116 112 107 34 37,125 99 70 106 48
rena,116170,22 31 0 17 0,45 47 14 18 0,58 62 40 33 14,74 70 60 28 30,91 108 90 91 100,,42 47 21 13 0,58 62 34 33 15,71 62 49 51 26,83 108 81 107 78
rena2,122552,15 23 10 5 0,45 39 9 17 5,71 70 38 28 31,88 86 56 27 61,,,44 39 5 17 5,71 62 25 29 30,84 70 38 29 48,
rens,102250,15 17 1 0 0,32 35 20 56 0,42 35 12 48 7,63 47 21 17 29,94 94 50 31 103,,31 35 14 47 0,45 41 18 41 8,62 47 21 20 27,93 94 32 9 104
rere,110075,19 16 7 3 0,32 27 14 16 0,44 38 18 25 10,58 55 23 32 31,,,33 27 12 16 1,44 38 18 25 10,58 55 12 32 30,
resk,105000,39 45 16 23 9,61 64 40 30 48,87 101 81 16 104,128 117 63 14 121,,,59 64 23 23 48,84 96 30 50 100,129 117 50 19 119,
reso,108546,24 26 14 27 0,47 43 12 21 0,79 78 38 13 48,109 87 29 13 104,,,46 43 23 21 0,77 78 38 13 44,113 87 16 13 102,
resp,129777,10 11 1 0 0,20 22 7 13 0,47 45 21 50 10,88 90 36 44 101,,,21 22 5 15 0,47 45 18 49 9,87 84 30 48 101,
reup,96000,14 18 0 0 0,33 31 9 33 0,48 43 38 25 7,61 56 78 30 22,,,33 31 16 3 0,50 43 36 35 6,62 50 52 20 20,
reve,100645,21 25 0 26 0,33 45 9 68 0,53 51 10 49 13,81 64 20 60 81,,,32 32 7 57 0,52 45 9 42 12,71 58 5 42 45,
revn,121485,20 33 0 8 0,44 42 3 74 0,64 67 58 63 10,94 75 43 24 39,151 117 49 24 103,,43 42 1 49 0,65 67 27 63 9,91 75 30 22 36,157 117 30 31 102
revo,103794,18 29 1 11 0,42 58 21 51 1,56 58 18 49 23,86 73 16 69 94,125 108 54 54 116,,41 44 16 33 1,54 58 30 95 17,81 73 16 58 82,132 108 36 57 119
rezo,94539,16 20 9 0 0,25 27 10 13 0,52 55 23 30 7,71 61 30 26 28,,,27 27 5 16 0,50 41 16 48 5,66 55 20 43 22,
rhrn,86347,15 15 10 9 0,28 26 10 1 0,41 41 30 33 4,58 41 10 46 21,,,33 26 3 22 0,41 41 30 33 4,55 41 9 46 18,
rhyt,90342,24 28 7 0 0,49 56 52 0 0,57 56 41 0 13,92 63 10 0 91,,,47 56 38 0 0,61 56 12 0 13,80 56 38 0 45,
rhyz,130800,22 33 12 21 0,52 66 49 56 4,79 75 30 42 38,101 104 56 36 102,,,51 66 45 57 2,79 75 29 34 38,102 104 45 28 101,
riao,120667,13 17 7 28 0,34 47 49 20 1,71 76 47 29 82,116 123 101 32 126,,,34 47 43 19 1,70 76 41 26 79,120 123 96 21 132,
ridl,104167,27 30 5 6 0,37 60 38 33 0,52 60 21 38 20,69 60 25 56 38,,27 30 23 0 0,40 45 23 26 0,53 60 23 38 20,64 67 21 23 33,
righ,90925,,35 32 12 0 0,46 43 34 0 6,62 59 38 0 23,,,31 37 5 0 0,42 37 27 0 2,56 43 30 0 17,
rink,119999,13 16 5 25 0,44 49 14 33 1,55 66 50 62 13,89 99 27 55 76,,,43 41 9 29 1,54 66 41 55 12,87 99 21 42 66,
rinn,144490,17 32 1 13 0,36 40 16 32 0,62 65 16 37 17,84 73 12 32 44,118 107 29 55 102,,38 40 9 28 0,59 65 18 31 15,83 73 12 30 44,123 107 25 35 102
rint,111894,22 20 1 0 0,33 34 7 38 0,43 54 32 57 2,60 54 50 45 16,,,31 34 9 37 0,41 47 29 48 3,64 54 36 49 21,
rint2,128107,24 27 5 32 0,29 27 1 39 0,46 54 18 62 4,64 67 18 65 23,,,34 27 1 37 0,45 54 18 62 4,64 67 21 65 23,
riot,107200,21 16 1 12 0,38 44 12 6 6,63 66 47 40 82,93 99 30 58 112,135 110 87 48 123,,35 33 7 7 4,62 66 27 41 79,93 99 29 48 115,143 107 70 48 133
ripm,89995,26 26 3 0 0,40 33 3 7 0,64 53 14 11 27,77 53 1 6 52,,,38 33 3 14 0,65 53 1 11 27,77 53 1 5 51,
risa,101573,16 19 3 3 0,27 31 5 23 0,43 38 30 8 5,61 50 41 31 18,,,,,,
risi,112738,23 26 5 3 0,40 39 14 12 0,71 52 18 7 34,104 91 41 13 103,132 102 85 14 108,,39 39 12 15 0,70 52 10 8 33,97 85 18 15 101,143 102 69 7 110
rist,82818,11 14 3 0 0,19 18 7 11 0,33 27 32 18 5,42 41 65 0 15,,,25 23 16 0 0,35 32 45 0 4,46 37 36 0 17,
rmrm,112088,12 15 1 10 0,29 30 10 40 0,40 53 16 37 4,54 60 29 45 12,,,29 30 7 45 0,41 45 14 39 4,59 60 23 42 17,
robo,82000,15 20 1 33 0,28 20 1 50 0,39 40 14 65 9,61 50 72 17 55,,,28 25 3 64 0,45 40 38 57 10,59 45 21 32 48,
rock,88000,,40 37 9 0 0,51 50 34 0 14,62 62 52 0 27,,,37 31 34 0 1,42 37 20 0 16,64 50 20 0 32,
roes,114545,14 22 0 41 0,30 33 3 57 0,48 44 9 52 15,67 55 12 43 51,,,30 33 3 57 1,46 38 5 53 14,62 55 10 44 38,
rofo,121482,15 13 0 1 0,46 54 20 21 5,71 47 3 19 54,95 81 30 20 102,,,45 54 14 21 5,67 47 1 19 49,93 81 32 20 102,
roki,105600,17 12 0 17 0,32 37 16 23 0,50 50 25 21 9,70 56 27 33 41,,,31 31 12 23 0,50 50 23 21 9,69 56 25 33 38,
roku,105810,14 15 3 0 0,30 31 7 16 0,57 54 25 9 12,75 62 20 17 32,118 104 41 38 103,,32 38 12 17 0,52 54 25 16 9,71 62 20 19 27,99 104 40 36 100
rola,94400,26 25 0 0 0,36 43 23 46 1,58 50 10 26 21,92 81 18 24 102,,,33 50 32 49 1,59 50 14 26 22,88 81 14 27 101,
roli,124500,17 20 14 31 0,33 53 49 105 0,62 53 32 65 32,88 80 70 24 100,99 86 83 23 103,,33 53 49 105 0,62 53 30 65 32,88 80 70 24 100,98 86 80 23 104
roll,102290,20 23 1 0 0,28 39 25 31 0,54 55 54 31 1,78 63 56 25 25,,,29 31 16 38 0,53 55 50 20 0,81 63 49 3 28,
roma,77971,,35 39 12 0 0,53 52 29 0 10,83 72 16 0 77,,,37 32 9 0 0,57 52 29 0 8,79 52 23 0 36,
rome,101687,17 21 1 15 0,30 21 0 0 0,42 37 7 6 5,50 42 61 2 10,,,30 21 0 0 0,42 37 7 6 5,50 42 61 2 10,
room,107586,16 18 3 30 0,34 30 5 28 0,47 42 3 45 7,68 48 10 46 29,,,35 30 0 28 0,47 42 3 45 6,69 48 10 44 30,
roov,89137,19 35 27 0 0,37 40 29 0 2,48 46 18 0 17,57 52 14 0 33,,,37 40 29 0 2,48 46 18 0 17,57 52 14 0 33,
ropa,123750,17 21 5 0 0,34 26 7 0 0,78 58 1 13 83,128 85 56 17 111,,,34 26 7 0 0,78 58 1 13 83,139 85 30 17 114,
ropp1,105888,27 35 3 25 0,43 42 10 73 3,63 56 25 78 22,93 99 20 79 103,,,41 35 7 80 1,54 56 30 90 14,83 85 29 80 97,
ropp2,111535,25 33 5 29 0,41 47 10 77 5,62 60 18 67 28,85 94 23 68 101,,,40 47 9 78 3,58 60 18 83 24,82 80 23 67 100,
ropp3,110655,27 26 1 28 2,43 39 12 58 7,66 72 21 31 36,88 102 30 42 102,,,43 46 10 54 8,62 72 20 42 32,86 79 23 40 100,
ropp4,113824,27 40 1 43 0,46 56 10 76 7,68 106 30 60 34,94 114 32 56 105,,,44 56 9 64 5,60 80 27 72 24,88 110 25 69 102,
rose,88769,18 18 7 0 0,27 30 9 13 0,43 42 34 32 4,54 60 49 68 29,,,27 30 10 5 0,41 36 29 50 2,52 48 27 61 23,
rosi,110545,16 20 3 30 0,33 41 20 48 0,51 55 38 45 14,73 55 29 20 33,,,35 41 16 49 0,51 55 32 41 14,73 55 29 20 32,
rout,89903,22 35 14 0 0,34 41 29 51 0,54 53 29 27 29,70 47 0 3 69,,18 23 34 0 0,26 47 40 33 0,50 47 29 22 21,73 59 56 18 61,
rpgg,114074,20 20 0 19 0,33 27 0 19 0,61 47 23 38 15,92 87 21 13 78,,,36 27 0 12 0,61 47 14 38 15,92 87 23 11 78,
rryu,99869,21 24 0 0 0,36 49 61 32 0,52 49 38 11 17,77 74 78 8 90,68 86 200 17 52,,35 43 56 27 0,50 49 45 18 15,76 74 50 9 82,68 86 200 17 85
rten,89604,23 27 5 13 0,40 41 20 23 0,55 48 18 43 11,68 76 58 65 31,,14 21 10 0 0,30 41 21 20 0,61 55 36 14 16,82 105 76 27 54,
rthm,117248,12 16 0 15 0,18 21 3 26 0,34 32 10 46 5,45 43 29 47 13,,,24 27 1 31 0,37 38 14 53 5,47 43 30 42 14,
rthr,80618,24 26 12 0 0,39 45 12 0 0,44 45 27 0 3,66 52 1 0 27,,,42 45 25 0 2,66 52 12 0 27,63 52 12 19 31,
rtrw,106207,24 29 3 19 0,45 43 27 38 2,69 58 25 28 29,94 94 41 32 94,106 108 43 53 102,,45 43 23 38 2,69 58 21 28 29,95 87 34 18 90,98 108 30 66 102
rtyl,109331,23 27 10 40 0,38 27 12 22 1,75 88 27 19 102,140 94 10 11 115,155 116 10 14 122,,38 33 12 19 1,84 99 32 23 91,171 108 29 11 121,186 116 27 16 129
ruee,88711,13 17 0 0 0,25 29 3 9 0,39 40 23 39 5,68 52 25 24 34,,,28 23 0 8 0,50 40 29 15 10,65 58 32 17 36,
rugg,72822,,38 49 20 0 2,44 56 5 0 16,49 63 78 0 24,,,38 42 14 0 2,44 56 5 0 16,,
ruka,91500,15 13 1 0 0,24 26 5 3 0,58 53 36 26 10,78 66 27 56 52,,,27 26 5 7 0,59 53 30 28 11,71 53 43 45 29,
runs,96000,25 25 9 4 0,40 31 12 10 2,64 62 20 28 29,96 93 36 18 104,129 100 123 11 111,,38 31 18 10 2,63 62 29 20 27,93 81 36 15 104,95 100 60 34 80
rush,99034,18 15 9 0 0,34 30 27 0 0,40 35 40 0 3,51 41 23 0 15,,,29 30 20 0 0,42 41 32 0 5,49 41 23 0 14,
rusy,104651,18 21 0 0 0,34 35 0 33 0,43 50 25 39 3,64 57 32 20 18,,,31 35 10 42 0,46 50 54 15 6,64 57 38 15 19,
ryor,117503,17 16 1 15 0,34 40 5 53 0,51 48 21 68 4,75 64 32 46 27,,,28 32 5 45 0,47 48 25 67 3,69 64 36 38 21,
ryou,99793,9 12 5 0 0,20 16 9 15 0,34 29 14 5 5,38 33 23 26 10,,,19 16 7 18 0,31 29 3 0 4,38 33 16 26 10,
ryum,110677,20 35 1 23 0,52 46 7 35 5,85 93 29 21 19,158 93 60 7 65,194 120 106 9 100,,48 46 3 33 4,79 81 29 21 13,170 93 54 7 61,214 114 85 5 85
ryum2,110909,15 16 5 22 0,27 27 9 43 0,55 49 18 36 36,100 88 45 48 111,155 105 54 29 124,,27 27 12 36 0,55 49 14 43 34,94 88 40 41 111,168 105 54 20 127
rzon,88725,29 27 12 0 0,42 41 23 40 0,55 48 36 40 11,80 68 10 22 55,,,42 34 18 40 0,55 48 32 40 11,75 55 32 22 31,
sabe,105946,30 33 0 0 0,48 67 16 51 5,65 84 43 68 20,83 113 49 49 52,95 100 98 37 53,,51 67 14 32 5,62 75 70 44 12,81 104 47 33 39,91 100 72 32 44
sabe2,106094,16 17 1 9 0,25 28 3 28 0,48 40 3 42 21,69 69 5 27 84,95 92 36 16 106,,32 28 1 32 2,42 34 1 31 20,70 63 9 30 84,83 69 9 36 102
sabl,109819,24 27 0 27 0,42 54 16 26 5,71 82 29 18 43,95 104 49 29 104,,,42 41 3 7 3,72 61 12 12 43,96 104 14 24 105,
sacr,91768,14 21 1 0 0,23 28 5 27 0,45 56 18 63 5,65 63 27 47 24,73 85 30 45 37,,32 35 14 62 0,46 49 12 79 5,68 56 12 79 26,75 85 12 78 38
sadi,101132,18 19 1 17 0,35 39 20 51 0,49 46 12 62 11,78 66 25 51 73,141 103 9 50 112,,33 33 7 48 0,47 46 20 39 9,72 59 10 34 51,135 103 18 57 112
sadwy,86824,,35 24 0 0 6,43 40 14 0 17,50 52 21 0 40,54 52 81 0 72,,38 28 0 0 11,48 40 7 0 32,49 64 47 0 55,
saeu,111017,29 31 1 22 0,63 54 27 8 14,92 69 10 8 66,140 112 69 14 110,,,60 46 9 8 9,90 69 3 8 59,145 112 63 14 112,
safa2,103880,17 16 3 24 0,34 33 9 39 0,54 44 16 44 23,77 67 38 19 92,104 83 61 9 108,,34 33 9 39 0,53 44 10 44 21,76 67 36 19 88,99 83 52 9 109
safri,83500,,32 30 21 0 0,37 40 43 0 4,38 45 113 0 5,51 45 56 0 27,,34 30 20 0 0,35 40 92 0 1,52 55 69 0 29,
saga,93767,29 33 0 0 0,44 50 29 25 0,59 59 36 32 11,67 67 105 46 18,,,44 50 1 8 0,56 67 105 17 4,75 67 21 13 24,
saha,121664,17 17 3 15 0,43 34 7 8 4,66 45 1 6 27,94 90 10 8 102,,,43 34 7 8 4,64 45 1 6 25,93 90 7 8 102,
saib,127201,8 21 0 29 0,23 29 0 33 0,42 58 7 59 6,59 58 43 57 20,,,22 29 0 33 0,39 58 7 64 4,53 58 23 71 18,
said,97333,16 15 0 0 0,21 18 7 66 0,35 30 16 43 11,60 52 27 82 100,,,21 18 7 39 0,35 33 25 33 13,63 52 36 54 101,
saik,90547,13 18 0 20 0,22 18 1 18 0,40 36 12 22 30,59 45 5 16 51,,,21 18 1 18 0,37 36 21 15 14,52 45 16 35 31,
sain,84269,19 20 1 0 0,35 33 3 0 0,47 54 12 0 5,74 54 56 0 54,,,36 33 9 0 0,46 40 12 0 3,70 54 49 0 49,
sais,108001,22 32 5 0 0,49 40 5 22 3,91 102 27 24 86,145 122 27 15 115,,,52 48 5 18 6,80 88 29 14 56,156 122 29 7 117,
sak2,90002,18 23 0 6 0,26 38 1 10 0,48 61 18 35 4,69 61 5 31 27,86 76 89 12 48,,26 30 0 10 0,48 46 5 39 4,69 61 5 16 27,90 69 85 12 49
saka,108445,15 22 1 36 1,32 33 14 24 7,51 45 20 25 22,76 73 63 25 78,,,31 33 9 24 6,52 45 9 26 22,75 73 45 28 73,
sakm,106517,21 31 3 27 0,46 62 14 34 3,63 62 34 40 25,82 93 52 40 50,,,46 46 5 46 6,61 62 34 41 22,86 78 52 52 46,
sakr,103108,11 21 1 31 0,24 21 7 9 0,52 56 14 7 9,82 63 23 22 38,,,24 28 9 11 0,52 42 5 9 9,80 63 18 18 35,
saku,96873,33 32 0 0 0,47 53 14 9 0,71 75 7 5 7,92 96 16 1 34,73 75 9 1 12,,46 53 10 13 0,65 64 16 11 6,90 85 18 1 28,72 64 9 1 11
sala,80394,,38 39 32 0 9,41 44 45 0 11,48 50 69 0 24,,,38 33 32 0 9,41 44 49 0 12,,
samb,85502,,43 40 9 0 0,50 53 41 0 5,61 53 92 0 15,,,,,,
samu,100402,23 27 0 0 3,49 41 12 18 14,79 69 52 2 47,99 102 74 39 101,,,51 48 20 16 14,73 62 29 15 35,96 102 41 28 100,
san2,103638,18 13 0 0 0,18 13 0 10 0,50 52 12 66 18,59 58 16 77 30,,,18 13 0 10 0,35 45 14 85 7,58 52 10 56 26,
sana,94667,15 11 0 0 0,27 15 0 0 0,40 30 0 0 17,62 48 0 0 92,,,27 15 0 0 0,47 33 0 0 23,56 45 0 0 86,
sand,87553,,23 28 7 37 0,34 45 10 73 4,49 56 27 63 26,,,26 28 7 41 0,39 39 10 43 3,57 56 10 55 38,
sans,128447,9 16 1 0 0,21 27 9 5 0,46 44 27 27 19,79 72 16 12 102,,,24 27 10 5 0,45 44 12 35 21,76 72 21 12 101,
sans0,125829,17 29 9 59 0,33 36 10 53 0,49 58 36 63 13,65 65 38 35 29,96 108 38 16 100,,33 36 10 53 0,49 58 36 63 13,65 65 30 45 28,96 108 36 16 100
sare,91334,38 30 7 18 0,65 72 25 25 3,78 72 27 15 21,96 101 30 30 97,114 106 36 32 102,,60 72 29 24 3,74 82 27 17 20,92 92 30 29 70,112 106 38 21 102
sarf,103094,20 29 1 0 0,52 59 10 11 8,59 59 20 18 21,92 101 65 4 73,,,42 44 0 0 4,53 59 20 15 12,88 81 21 9 50,
sash,123000,16 26 1 10 0,40 40 18 39 5,69 53 27 40 31,91 100 29 62 104,133 103 14 46 113,,38 40 20 40 3,68 53 18 39 33,92 93 12 50 105,124 103 10 47 114
sasu,92821,20 22 12 0 0,51 52 40 30 4,73 60 47 28 23,86 75 69 40 52,116 110 98 43 103,,53 52 41 27 5,71 60 50 21 23,90 75 61 25 55,107 102 96 41 101
satn,91878,17 16 1 0 0,24 26 5 39 0,39 32 9 64 4,46 37 10 71 12,,,25 26 5 18 0,38 32 5 19 2,47 37 12 26 11,
satu,108385,16 18 0 0 0,33 48 34 28 3,49 48 27 25 17,62 67 23 38 46,,,27 48 20 27 0,42 48 34 47 9,55 60 29 93 33,
saya,118763,7 8 1 0 0,19 20 5 2 0,31 28 9 42 6,41 36 14 54 15,,,19 20 5 2 0,30 28 9 43 6,41 36 10 70 15,
sayg,96778,11 14 7 0 0,16 14 1 0 0,27 33 5 38 3,49 43 20 36 18,,,11 14 3 0 0,28 28 3 42 3,48 38 12 39 18,
sayh,125404,6 9 0 19 0,14 18 7 29 0,44 37 7 33 18,73 60 20 22 86,,,16 18 3 14 0,44 37 5 27 18,72 60 10 12 85,
sayo,108442,18 16 0 40 0,22 22 7 69 0,42 45 23 87 10,57 50 18 68 30,,,27 22 1 50 0,47 45 34 53 12,57 50 34 23 26,
sazu,119786,13 17 3 5 0,41 53 21 51 2,66 71 23 50 17,95 80 41 40 56,149 121 106 28 108,,39 53 14 44 1,65 62 25 40 14,95 89 25 35 57,170 112 21 28 107
scanu,96639,,45 51 25 0 0,52 51 38 0 4,62 58 27 0 17,66 58 41 0 21,,47 36 10 0 0,50 58 80 0 2,63 58 49 0 16,
scar,110667,15 15 1 23 0,31 30 3 18 0,49 45 5 16 6,75 60 27 9 32,,,31 30 3 16 0,48 45 3 20 5,75 60 21 9 32,
scho,87041,21 22 0 7 0,40 37 7 31 0,57 60 69 27 10,82 75 60 10 40,85 91 60 21 52,,36 37 14 34 0,58 60 40 35 10,79 60 40 19 37,84 75 69 22 68
schw,104000,20 23 7 25 0,55 52 23 35 20,79 75 16 27 94,129 101 20 42 113,,,54 46 21 35 19,80 75 10 27 96,135 101 21 38 116,
scor,94087,19 41 7 0 0,34 26 1 11 0,42 36 49 23 4,50 57 74 29 32,,,32 36 25 23 0,43 36 49 23 4,59 52 32 29 35,
sday,115328,18 19 5 32 0,32 32 5 35 0,44 44 14 52 3,55 51 9 77 12,,,33 32 5 49 0,46 51 10 77 4,54 51 10 67 13,
sdeli,85863,,36 33 7 0 4,49 48 29 0 19,62 57 61 0 52,70 67 96 0 100,,42 38 16 0 7,54 53 23 0 34,71 57 30 0 57,
sdyna,94393,23 25 0 0 0,39 50 60 0 0,56 56 43 0 21,84 62 21 0 74,76 62 47 10 66,,45 50 47 0 0,52 50 47 0 7,70 50 23 0 25,69 62 27 0 35
seco,115976,16 18 3 0 0,27 49 16 28 0,43 49 21 28 11,61 74 50 21 25,81 86 18 24 92,,28 49 7 41 1,42 49 29 17 9,63 62 38 18 26,80 74 5 41 72
secr,94894,14 16 5 0 0,19 24 12 9 0,30 32 23 20 5,49 53 36 69 69,,,21 24 18 9 0,31 32 45 22 5,53 49 27 52 52,
sect,115125,19 30 7 17 0,38 48 23 37 8,66 100 29 52 65,96 100 38 41 110,,,38 48 20 42 8,63 77 20 58 53,95 103 30 42 112,
sedm,108710,24 30 1 28 0,45 48 20 49 11,68 85 21 60 79,91 107 27 61 109,,,46 42 14 66 13,69 85 14 60 77,91 107 16 68 111,
sedu,96624,20 20 5 0 0,31 34 14 71 0,49 55 29 27 10,79 76 38 30 45,,,32 41 20 66 0,50 48 29 26 9,74 76 38 57 46,
sedu2,94730,27 23 1 0 0,47 39 3 8 0,64 47 7 21 14,79 63 52 2 38,,,43 39 5 22 0,62 47 1 2 10,78 63 32 2 30,
seik,121291,17 23 0 0 0,44 46 5 7 1,56 62 23 12 9,76 69 32 16 27,,,38 46 10 4 0,54 62 21 12 8,69 62 29 19 21,
seit,110610,23 28 1 4 0,37 38 3 22 1,51 57 16 56 8,65 67 27 84 20,,,36 38 1 23 0,46 38 1 40 4,55 57 40 63 10,
seiz,109757,18 20 3 3 0,36 27 0 83 0,59 47 9 47 21,81 68 34 35 53,,,35 27 3 80 0,58 47 5 50 21,78 68 32 32 45,
seka,106905,9 9 0 5 0,17 18 1 23 0,30 32 14 22 3,44 36 9 24 15,,,16 13 1 0 0,29 32 9 15 1,45 36 3 21 15,
sen7,78788,,26 22 0 0 0,38 33 5 0 4,58 50 27 0 23,,,28 28 10 0 0,42 33 16 0 9,45 44 40 0 16,
senc,109879,27 31 7 28 0,48 47 10 42 10,81 94 21 41 101,119 104 32 31 119,157 112 43 48 140,,47 47 10 47 9,80 94 14 41 100,120 104 32 31 123,179 112 43 46 144
senk,132857,13 14 5 0 0,36 35 20 14 0,72 70 36 25 38,128 98 27 21 105,,,34 35 12 16 0,72 56 32 28 35,131 98 16 20 105,
senn,127450,19 19 5 33 0,31 25 10 39 0,48 51 29 34 7,63 57 61 26 26,,,26 31 1 39 0,44 51 20 27 4,64 51 25 25 24,
seno,85163,19 21 5 0 0,31 29 5 9 0,51 50 21 12 10,79 58 29 4 36,,,28 29 9 9 0,50 50 25 3 7,75 58 29 4 32,
sent,90349,16 21 5 0 0,23 35 14 33 0,36 42 18 32 2,49 49 21 32 12,,,,,,
sent2,85689,15 14 3 6 0,25 29 14 13 0,41 50 16 45 5,56 65 32 31 14,,,,,,
seph,123122,18 19 0 19 0,31 38 3 30 0,56 51 20 18 15,75 57 16 8 40,,,28 25 1 25 0,52 51 18 17 11,71 57 9 12 33,
seta,109714,18 17 1 2 0,30 29 7 6 0,57 58 12 20 34,76 64 10 19 88,,,28 29 7 13 0,54 64 21 26 32,72 64 21 33 79,
setd,88524,12 15 1 19 0,22 25 9 15 0,38 30 21 28 5,55 40 18 15 28,,,22 25 1 15 0,37 30 10 28 4,54 40 14 29 27,
sets,131239,13 13 5 0 0,37 39 18 7 0,56 53 21 18 19,82 79 52 22 100,97 103 61 6 107,,37 39 12 2 0,53 53 29 12 13,81 92 23 9 81,106 109 27 36 112
sett,96000,8 9 0 19 0,15 18 0 58 0,41 32 9 19 8,66 55 5 12 83,,,15 18 0 58 0,38 32 12 19 6,64 55 16 19 73,
setu,115865,17 18 0 8 0,26 30 7 17 0,55 54 34 13 19,89 78 14 17 101,,,25 24 5 14 0,52 48 36 23 18,84 72 14 21 95,
seul,109440,16 15 0 10 0,28 20 1 58 0,43 36 0 7 18,57 46 3 19 26,,,30 20 1 60 0,43 36 0 7 18,57 46 3 18 26,
seve,87024,,19 23 5 0 0,37 34 27 0 0,41 46 14 0 10,,,23 23 16 0 0,39 46 3 0 5,51 46 14 0 19,
sexy,78555,19 22 0 0 0,51 60 45 0 1,56 60 30 0 10,66 60 50 0 19,,,44 37 1 0 0,52 60 40 0 4,60 60 94 0 18,
sexy3,96000,32 45 12 0 0,,,,60 67 87 22 8,,,,,50 60 67 31 3
sfrid,96960,,28 31 0 0 0,46 36 0 0 11,61 41 27 0 26,60 62 56 0 35,,40 36 0 0 4,51 36 3 0 16,58 57 63 0 29,
sgfr,123750,17 16 0 28 0,36 32 29 49 0,52 42 23 30 16,77 69 23 39 84,91 85 36 32 102,,36 32 29 44 0,52 42 23 29 17,77 69 21 38 83,91 85 36 29 103
sgoon,95879,,23 21 0 0 0,41 34 9 0 12,57 59 65 0 49,66 68 108 0 95,,32 38 7 0 3,42 51 36 0 15,55 59 50 0 43,
shad,91768,12 28 12 0 0,28 42 20 14 0,48 56 36 16 4,55 56 40 16 7,,,27 42 20 14 0,44 56 36 16 1,54 56 41 16 7,
shak,87646,,27 23 1 0 0,29 32 27 0 5,44 46 61 0 39,,,27 28 23 0 0,39 32 10 0 9,49 37 16 0 36,
sham,113963,12 18 3 20 0,26 24 5 69 0,55 48 12 52 17,99 84 20 41 104,,,24 24 5 69 0,52 48 10 50 14,97 84 21 41 104,
shang,88834,13 16 1 0 0,18 26 3 20 0,41 37 3 29 8,49 43 20 40 18,,,,,,
shar,93600,15 15 0 0 0,26 31 1 0 0,36 46 25 0 12,48 46 38 0 28,,,27 31 1 0 0,34 46 25 0 12,48 46 38 0 27,
shda,100909,11 18 7 12 0,20 23 12 21 0,35 32 18 10 10,46 45 32 19 40,69 68 67 35 103,,20 23 10 21 0,36 32 9 10 11,46 45 32 19 40,69 68 65 34 104
shei,102708,13 17 7 0 0,25 29 12 61 0,38 40 23 72 9,61 70 47 40 36,,,24 29 7 46 0,36 40 21 67 3,57 64 21 48 35,
shell,87622,,45 44 21 0 0,53 44 18 0 3,55 58 50 0 6,62 58 58 0 11,,38 36 12 0 0,46 51 20 0 0,57 58 45 0 6,
shia,128451,20 17 0 8 0,38 47 7 11 0,49 47 54 13 9,76 71 40 14 75,,,37 47 10 23 0,52 47 40 39 17,76 76 12 22 57,
shid,120585,21 25 7 31 0,50 51 20 48 6,77 68 12 37 33,100 94 34 30 81,,,48 51 16 33 3,70 68 12 41 29,89 94 12 26 47,
shie,94080,11 15 0 0 0,20 20 0 58 0,33 31 9 46 3,44 41 12 49 19,55 57 16 59 52,,21 20 0 46 0,33 31 12 11 9,47 41 12 11 26,55 52 12 52 51
shij,112000,17 16 3 27 0,28 33 16 29 0,49 45 1 32 21,67 61 5 48 62,,,27 28 9 29 0,48 45 3 31 21,66 61 5 44 59,
shik,130800,18 25 0 10 0,44 41 0 17 0,58 66 25 45 9,70 75 49 52 22,,,42 41 0 17 0,58 58 12 44 9,69 66 40 38 21,
shin,97961,20 36 9 0 0,21 24 14 0 0,35 49 20 79 1,47 49 18 107 8,,,32 30 7 20 0,41 36 14 22 0,48 49 7 72 9,
shio,123346,24 22 0 3 0,42 44 9 7 0,62 59 21 8 22,82 67 18 13 46,,,43 37 9 13 0,66 52 0 6 26,78 67 45 12 44,
shis,124784,18 16 3 8 0,32 41 7 24 0,63 58 12 20 11,89 66 21 30 36,,,31 41 9 19 0,63 58 5 17 10,85 66 7 25 33,
shiv,103109,14 16 1 0 0,21 28 3 91 0,39 39 36 99 7,55 56 21 134 41,,,21 28 3 91 0,35 39 21 78 3,53 45 27 102 24,
shiz,106290,18 17 0 0 0,24 26 0 49 0,57 61 9 38 6,74 78 29 69 31,,,22 26 3 44 0,56 61 9 46 6,71 78 25 68 28,
shiz1,102919,15 22 0 0 0,25 29 0 44 0,46 44 7 0 1,61 59 7 0 11,,,,,,
